
// ================================================================================================================================================================
// General Pool
// ================================================================================================================================================================

---- LW2WotC_ShootAnyone:  Shoot Anyone.
---- GrimySustainedFire: Allows you to reload and overwatch using strafing action points.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Cannon
# Strafe

---- GrimyPyrokinesis: sacrifice health, damage and burn enemy. use strafe AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Strafe

---- GrimySoulTap: sacrifice health, gain AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury

---- GrimyReinvigorate: gain AP when healed
:: Mitzruti's Perk Pack
:: Grimy's Fury

---- GrimyReave: sacrifice health: weaker nullance that poisons. us strafe AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Strafe

---- GrimyBulletRoulette: equips random ammo at mission start
:: Mitzruti's Perk Pack
:: Grimy's Fury
@ Wildcard

---- GrimyMadness: sacrifice health to mind control and enemy for 1 turn. use strafe AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Strafe

---- GrimySprayAndPray: fire at up to three random enemies. use strafe AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Strafe

---- GrimyAnomaly: once per mission, do massive damage in an aoe, then summons a new pod.
:: Mitzruti's Perk Pack
:: Grimy's Fury

---- GrimySpeedster: passive: +1 AP, -4mobility
:: Mitzruti's Perk Pack
:: Grimy's Fury
* Action

---- GrimyWillToSurvive: increase max HP based on will
:: Mitzruti's Perk Pack
:: Grimy's Fury
* HP


---- GrimyIncediaryShot: Deals fire damage and applies burning to targets in a small radius
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
* Fire

---- GrimyTwinFangs: Fire two poisonous rounds at up to two random enemies
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
* Poison

---- GrimyBuckshot: Fire at all enemies inside a narrow cone
:: Mitzruti's Perk Pack
:: Grimy's Headhunter

---- GrimyDoubleTap: take a shot, then take another action.
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
* Action

---- GrimyHexHunter: special shot deals bonus damage to psionic enemies, proportional to their psi offense.
:: Mitzruti's Perk Pack
:: Grimy's Headhunter

---- GrimyMultiHook: A free aiming grappling hook that costs 1 action point
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
# Grapnel
@ Alpine
@ Shipwreck
@ Quick Kick

---- GrimyPreparation: free action grants AP on next turn.
:: Mitzruti's Perk Pack
:: Grimy's Headhunter
* Action


---- MZCriticalX: increases crit, but reduces aim.
:: Mitzruti's Perk Pack


---- MZBulletArtCharges: bullet arts have extra charges
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZBleedingBulletArts: bullet arts inflict bleeding
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZMoreDakka: bullet arts hit twice, but do reduced damage per hit.
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZExplosiveBulletArts: bullet arts become aoe
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZHighCalibreBulletArts: bullet arts do bonus damage
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZHighAgonyBulletArts: DOTs inflicted by bullet arts do bonus damage
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZChronoTrigger: hitting with bullet arts reduce all cooldowns
:: Mitzruti's Perk Pack
* Bullet Arts


---- MZAcidBullet: acid damage + acid burning + improved shred
:: Mitzruti's Perk Pack
* Bullet Arts
* Shred
* Acid

---- MZBlazeBullet : fire daamage + burning
:: Mitzruti's Perk Pack
* Bullet Arts
* Fire
* Burning

---- MZToxicBullet : poison damage + poison + lure lost
:: Mitzruti's Perk Pack
* Bullet Arts
* Poison

---- MZMeleeBullet: melee damage + 0turn diorient + ignore sustain + ignore teleaway
:: Mitzruti's Perk Pack
* Bullet Arts
* Disorient

---- MZShockBullet: electric damage + AP + disable shield + reduce hack
:: Mitzruti's Perk Pack
* Bullet Arts
* vs Shield
* Electric
@ Dial-Tone

---- MZPsiBullet: psi damage + deadeye + AP + bypass shield
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZRuptureBullet: explosive damage +rupture
:: Mitzruti's Perk Pack
* Bullet Arts
@ Fast-Draw

---- MZHailBullet: can be used relentless. requires 2 ammo per use.
:: Mitzruti's Perk Pack
* Bullet Arts


---- MZAcidBulletX: acid bullet debuffs enemy damage
:: Mitzruti's Perk Pack
* Bullet Arts

---- MZBlazeBulletX: blaze bullet burn is stronger
:: Mitzruti's Perk Pack
* Bullet Arts
* Fire
* Burning

---- MZToxicBulletX: toxic bullet disorients
:: Mitzruti's Perk Pack
* Bullet Arts
* Disorient

---- MZMeleeBulletX: melee bullet does bonus damage scaling with target's psi
:: Mitzruti's Perk Pack
* Bullet Arts
* vs Psi

---- MZShockBulletX: shock bullet does double damage to robotics
:: Mitzruti's Perk Pack
* Bullet Arts
* vs Robotic

---- MZPsiBulletX: psi bullet stuns
:: Mitzruti's Perk Pack
* Bullet Arts
* Stun

---- MZRuptureBulletX: rupture bullet levels cover on hit targets
:: Mitzruti's Perk Pack
* Bullet Arts
* vs Cover


---- MZBloodyMadness: abilitiees with HP costs do more damage the lower HP gets.
:: Mitzruti's Perk Pack

---- MZPocketBlaster: grants a mini blaster launcher
:: Mitzruti's Perk Pack
# Extra Equipment

---- MZPocketPlasma: grants a powerful but narrow beam weapon.
:: Mitzruti's Perk Pack
# Extra Equipment
# Plasma
@ Flash
@ Sci-Fi

---- MZPocketShredder: shredder gun with low damage, but crazy shred.
:: Mitzruti's Perk Pack
# Extra Equipment
* Shred


---- MZExplosiveShot: shot deals explosive damage in an area around target.
:: Mitzruti's Perk Pack
* Shot

---- MZStormLanceShot: armour-piercing electric round damages enemies in a line.
:: Mitzruti's Perk Pack
* Shot




---- MZWildTalent: random bonus to psi
:: Mitzruti's Perk Pack



---- MZAbyssalHunger:  increase effectiveness of lifestealing
:: Mitzruti's Perk Pack
# Blood Magic

---- MZCurseBall:  consume HP. explosive psi aoe, creates curse cloud.
:: Mitzruti's Perk Pack
# Blood Magic

---- MZDarkPotency:  increases HP costs, boosts blood damage based on cost.
:: Mitzruti's Perk Pack
# Blood Magic

---- MZDropByDrop:  reduces HP costs
:: Mitzruti's Perk Pack
# Blood Magic


---- MZBloodiedShroud:  increased HP, faster wound recovery.
:: Mitzruti's Perk Pack

---- MZBloodPillar:  consume HP to create full cover
:: Mitzruti's Perk Pack

---- MZCloakOfShadows:  consume hp to reenter concealment
:: Mitzruti's Perk Pack

---- MZObtenebration:  as phantom. also reduces sight and detection radius somewhat.
:: Mitzruti's Perk Pack

---- MZPillar:  create full cover. useable by regular soldiers.
:: Mitzruti's Perk Pack

---- MZTenebrousForm:  deflect attacks by chance based on missing health
:: Mitzruti's Perk Pack

---- MZTenebrousreflect:  chance to reflect attacks deflected by Tenebrous Form
:: Mitzruti's Perk Pack

---- MZTerribleThought:  cosume HP to become undetectable and walk through walls. need to be concealed.
:: Mitzruti's Perk Pack

---- MZZombieGrenades:  gas and flashbangs make enemies vulnerable to Turn Undead/etc.
:: Mitzruti's Perk Pack


---- MZBloodShot:  consume half HP to fire a powerful and accurate shot.
:: Mitzruti's Perk Pack
* Shot

---- MZBloodKillZone:  consume HP to fire on anything that moves or attacks in a large cone
:: Mitzruti's Perk Pack
* Shot

---- MZDetonationShot:  shot+fuse (If an enemy is carrying explosives, they can be remotely detonated)
:: Mitzruti's Perk Pack
* Shot

---- MZFightInTheShade:  blood shot, hungering shot and bloodkillzone blind enemies they hit.
:: Mitzruti's Perk Pack
* Shot

---- MZHungeringShot:  weak attack steals HP
:: Mitzruti's Perk Pack
* Shot

---- MZHungeringShotConceal:  kills with Hungering Shot grant concealment
:: Mitzruti's Perk Pack
* Shot



---- Musashi_BioelectricSkin -skin: sense nearby enemies, even if they are concealed
:: Mitzruti's Perk Pack
# Gene Mods

---- MZAdaptiveBoneMarrow -Legs: reduce wounds postcombat, regen health in combat.
:: Mitzruti's Perk Pack
# Gene Mods

---- MZAdrenalNeurosympathy -Skin: kills buff allies with aim, crit, mob, cure panic
:: Mitzruti's Perk Pack
# Gene Mods

---- MZDepthPerception -eyes: bonus aim and crit when you have height advantage
== LW2WotC_DepthPerception
:: Mitzruti's Perk Pack
# Gene Mods

---- MZHyperreactivePupils -eyes: bonus aim after a miss
:: Mitzruti's Perk Pack
# Gene Mods

---- MZNeuralDamping -Brain: mental immune, resist psi damagee
:: Mitzruti's Perk Pack
# Gene Mods

---- MZNeuralFeedback -Brain: counter psi attacks by damaging attacker and putting psi abilitis on cooldown.
:: Mitzruti's Perk Pack
# Gene Mods

---- MZNictatingMembranes -Eyes: negate aim penalties from poison, disorient, smoke. cure blind every turn.
:: Mitzruti's Perk Pack
# Gene Mods

---- MZPsyberInterface -Eyes: Bonus hack, aim vs robots
:: Mitzruti's Perk Pack
# Gene Mods

---- MZregenPheremones -Skin: kills buff allies with regen, cure DoTs
:: Mitzruti's Perk Pack
# Gene Mods

---- MZViperBlood -Chest: poison immune, bleed poison, gain aim/crit/dodge in poison clouds.
:: Mitzruti's Perk Pack
# Gene Mods

---- RM_GeneWallClimb -legs: allows climbing walls (but not windows)
:: Mitzruti's Perk Pack
# Gene Mods

---- RM_GeneMimeticSkin -skin: enter concealment when moving to full cover if no foe sees you
:: Mitzruti's Perk Pack
# Gene Mods



---- MZHammerShot:  shot knocks back on hit
:: Mitzruti's Perk Pack
* Shot

---- MZMedishot:  shot heals single ally. charges based on carried medkits.
:: Mitzruti's Perk Pack
* Shot


---- MZLuckyDay:  random bonus to aim and crit
:: Mitzruti's Perk Pack

---- MZLuckyNight:  random bonus to dodge and mobility
:: Mitzruti's Perk Pack


---- MZWiredreflexes:  changes hit rolls on reflex actions to be 1 stage more favourable
:: Mitzruti's Perk Pack
# Gene Mods


---- MZProtection: stasis shield, but unlinked from stasis.
:: Mitzruti's Perk Pack

---- MZRaptorWhirlwind:  ranged shield attack, only useable after shieldwall.
:: Mitzruti's Perk Pack
# Shield

---- MZRaptorCyclone:  ranged aoe shield attack, only useable after shieldwall. (requires RaptorWhirlwind)
:: Mitzruti's Perk Pack
# Shield

---- MZShieldStability:  immunity to knockback. bonus aim and crit while shield is equipped.
:: Mitzruti's Perk Pack
# Shield

---- MZBarrierCharger:  recharges 1 shield per turn.
:: Mitzruti's Perk Pack

---- MZHardedShield:  damage to shields is reduced.
:: Mitzruti's Perk Pack
# Shield
* Defense


---- MZSidewinder:  critical shot, only usable against aliens. Jet Shot: hits twice.
:: Mitzruti's Perk Pack
* Shot

---- MZVitalsShot:  shot inflicts status effect depending on target type.
:: Mitzruti's Perk Pack
* Shot

---- MZSonicBoom:  accurate shot against a small area. JetShot: also disorients.
:: Mitzruti's Perk Pack
* Shot


---- MZUnscarred:  do more and take less damage when at full hp. (based on armour tech level)
:: Mitzruti's Perk Pack

---- MZAdvice:  grant ally a temp crit bonus
:: Mitzruti's Perk Pack
# Leaders

---- MZAdviceSelfToo:  Advice also buffs the user.
:: Mitzruti's Perk Pack
# Leaders

---- MZBattleCry:  self buff pretty much gaurentees crits - both outgoing and incoming.
:: Mitzruti's Perk Pack
@ Duke

---- MZRegenerate:  on taking damage, heal a percent of missing health.
:: Mitzruti's Perk Pack






---- MZTransposeDefense:  Transposition buffs defense when swapping with an ally.
:: Mitzruti's Perk Pack

---- MZTransposeTimeShift:  Transposition stuns when swapping with an enemy.
:: Mitzruti's Perk Pack


---- IsmsBlazeOfGlory:  fire at every visible enemy, then play dead 2 turns.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsBlindside:  Bullpup/SMG to bonus damage to flanked targets.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsFlush:  accurate shot with reduced damage. forces target to move.
:: Mitzruti's Perk Pack
:: IsmsRogue
@ Stalker
@ Falcon

---- IsmsGhostPack:  Phantom+Conceal. take 15% more damage.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsInfiltrator:  +40 hack and grants lightning reflexes
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsLastWish:  sustain variant: heals to 5hp and attempt to restealth after playing dead.
:: Mitzruti's Perk Pack
:: IsmsRogue
@ Duke

---- IsmsLoneWolf:  +2 vision. +20 defense when alone.
:: Mitzruti's Perk Pack
:: IsmsRogue
* Vision
* Defense
@ Deep Six
@ Spirit
@ Spearhead


---- Lone Wolf:  Gain +10 aim and +10 defense when 7 or more tiles distance from any ally.
== LW2WotC_LoneWolf
::1  LW2 Shinobi
::3   LW2 Sharpshooter
* Offense
* Defense

---- IsmsKeepYourHeadDown:  half cover counts as full. -5aim from half cover.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsOnTheMove:  +1AP -6 Mobility
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsRecon:  cone debuffs enemies, -5 Def, take more damage.
:: Mitzruti's Perk Pack
:: IsmsRogue
@ Stalker
@ Deep Six

---- IsmsRelocate:  squad is temporarily invisible, but remaining AP are converted to move action.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsRogueAndGun:  shot grants a move action if it hits.
:: Mitzruti's Perk Pack
:: IsmsRogue

---- IsmsScoutPack:  +6 vision. free battlescanner. bonus damage from height advantage.
:: Mitzruti's Perk Pack
:: IsmsRogue
@ Sneak Peek
@ Spearhead

---- IsmsShadowborn:  -33% detection radius, +15 aim/crit on shots from concealment.
:: Mitzruti's Perk Pack
:: IsmsRogue




---- MZRunningOnEmpty:  if mag is empty when moving, reload 1 ammo. once per turn.
:: Mitzruti's Perk Pack
* Shot

---- MZSecretHunt:  shot that bypasses shields and sustain. kills retain concealment. during jetshot, conceal on kill.
:: Mitzruti's Perk Pack
* Shot


---- MZAchingBlood:  when using weapons with long nicknames, increase crit chance and damage.
:: Mitzruti's Perk Pack

---- MZBladeGrasp:  chance to deflect based on current will
:: Mitzruti's Perk Pack

---- MZFierceMien:  reduce nearby enemies aim against other targets.
:: Mitzruti's Perk Pack

---- MZFierceMienDefDown:  fierce mien also makes it easier for others to hit the affected target.
:: Mitzruti's Perk Pack

---- MZUnwavering:  repairs 1 shreded armour per turn.
:: Mitzruti's Perk Pack
# Armor
* Repair Armor
* Shred


---- MZFreeAcidGrenade:  grants a free acid grenade
:: Mitzruti's Perk Pack
# Grenades

---- MZFreeGasGrenade:  grants a free gas grenade
:: Mitzruti's Perk Pack
# Grenades

---- MZFreeEMPGrenade:  grants a free EMP grenade
:: Mitzruti's Perk Pack
# Grenades

---- MZAbyssalShot:  sacrifice health to deal bonus psi damage and inflict bloodcurse.
:: Mitzruti's Perk Pack
* Shot

---- MZBloodSpear:  sacrifice health to deal bonus psi damage and inflict bloodcurse in a line.
:: Mitzruti's Perk Pack
* Shot

---- MZLongRangeDefense:  bonus def and dodge based on distance from attacker.
